Revision opencl for FPGA

Soln: 0x9: 150 440b5 156b1b 19167c 3cdc6 1a28f4 78f58 1a9010 97bcb 184381 1b2ae0 1f209b cae39 1160b1 19125e 1a7c78 24e54 1eee74 17dfe2 1b78a3 4d7ce 191c18 8a1f0 f574d 416f0 6930e edd08 18e2c6 10c334 167461 135311 1e8a59 c06b afd5e 102e54 131946 3e735 5ca89 4a40e 1c14b3 705da 168939 15c2f9 172b3b c7798 caa15 eca31 194c68 29774 8367d b9352 141683 5591d 17cd28 8f0cd 1e74b7 8fcf8 1b0baa 1d042a 1f3402 e3b50 19a0c4 172e33 176503 bbf6 2929f 397ed d38c6 66b46 e1cbc 162b10 188b48 41936 185975 92f30 18e2c4 a2709 1b4f46 d8b5b 1a8b2a 1ff8d 9ea5e 47390 1419ae 9acc1 a3dcf 1edaaf 1fbcb2 61a1e e0e59 1a5aa4 1cd3e2 acd3c 17c542 15b631 184da8 de14 9ee3f 519b0 1e7961 fc1a5 1c8e9d 154b09 1a9211 3a6ea 1c6b67 55553 18971f caaf3 f9f34 113933 1171ea fd29 164bd1 4f520 df4a5 18d52 3d314 55a1e b428f 11bfa 1d72bc 3eb56 19870b 6d289 1edcc2 72ea3 1c98b3 89c8 60e4e ef23 1c583f 6bf88 17668f 75481 1f576d 3e172 7ce36 17cd9f 1dd87c cd9c5 1bbc9b 12945b 1b225e 3e011 3f026 4e578 c34c5 964bd d6d88 c78ca 14bdc0 78807 b5814 1086d4 1ecdcf 85bac af31a 149698 1593a8 2931d 49d40 c733d 1b0d4b 4ac3c 139e95 955e7 ba3ed af1f4 12cc47 139967 154417 fdc69 1427c7 10517a 1db701 79b54 12f7af f102c feb0b fae52 1d0737 fb182 1dbcfb c37fc 10edfd 14d367 1fc7eb dd2fb 129faa 1cb190 1ffe9e 16760 cdc82 adbda 1f4c30 9a83d b9370 b802e 1fc88b 17852 1d166a a38c2 10ecdf 2d261 18b3c6 ab701 190425 190f6 c9b52 59b93 7e69e 685f5 1ccaee 15a194 167e81 1bedb f2b7c d69df 1c7182 687d0 193b06 9614a 1ec683 26ebc 153a54 55a1c f9d99 341f9 4994d 104f51 158a2e 4844b 61525 ee269 16d257 57816 9438d 1aaa8e 1bb31d 361bc 1005f2 48860 a3d6c 39ff8 141934 523f5 10a856 687b3 8fc36 11c412 131add 135b37 197f34 13ec09 1c937c 8b25 c13cb 65b19 16ae05 5beab 17bd20 f1d4e 19c2b9 34337 180218 f57bc 16dae8 46712 19f466 8e78c 1c034a 11ce0 192b2d f3b2d 10a565 5c8b9 1179ef 130481 19e7a9 38f6c 1a4beb 1a0fed 1ecc8a 4c2ef 72881 667b7 132958 37dd1 fe7e6 128e5c 13e1e7 ef062 1afbae 1264f4 1bcc80 c6f52 128100 19d485 1e87be dc984 12423c 1b52b1 1d4b39 4dd78 10fc43 b98d7 1275e1 a7877 15d707 151279 1c9f16 e14ed 1f3791 12e60c 1b732f 104b00 1fe5e2 17ea46 1b87c0 f40c 181c40 116a06 1f6018 40bea 76bf3 169e06 1aed3b 4f594 dc13f afc1c 160337 b1744 1d34a6 19346a 1a1166 f760 1bce02 15a2cb 186a2d 127e4 a0fcc 8676a 1da91d 3aa3b 1c80a2 d4499 12ff53 454a1 dee0c 5092c 143eca 629b4 1c78a6 170ddc 1e83c0 80d13 19cb08 f79e0 1a3a94 b36ef 1f9def 16c264 1c23c4 ea695 eff81 13909b 1915b6 6b822 1122ec 8ad05 e2b05 f5cca 17d8b0 1b5e4f 1c50b1 70f9e c0385 bb455 1ad57a c369d da9f2 d1dde 1050f4 8ccd 9f07 a596 7112d 9a463 198108 f633d 1de96f b499 c77f9 782c7 143f97 4e821 1d9e7b 6cf9a 1e02f6 2a211 77c01 4bd26 e62e7 be8db 1f62f1 15badc 1a538c 3b6c3 1a459d 45a13 19a90c b0b1b 136dc6 104277 133869 11b77 182e91 1087da 1fe5ad 24f25 e1d16 4f7b4 13a9df 42a12 1ff8a8 e7f1b 121670 57f79 9d899 d5a71 dbcd0 45438 140d64 73179 f4472 c31fc 1d2299 149aaa 16090d 85648 c2b65 1517ea 1cf20f c6280 145176 1c0755 1da77b 16513 1d4e72 bdd89 1fd97e 8b721 16a37b dd0fa 133142 9e960 15802d d7408 11c0da f3453 1a0d34 12cd93 17f9a6 1f3d4 1fd7dc cc2b5 d5075 96b1c 18ecb4 c3759 16d787 58821 d00d5 eb98c 1d0105 7a8ad ed7e5 168c4c 192c62 2625d f42ba ad582 1e9e74 4a398 e14d4 a66b2 db244 649cb afabc f79f5 1d0088 10b14a 13e87e 1b572b 1f357e 26461 905ca 8044a 9f65d 6b1f3 1ceb0a 9cc0a 10bbb3 7cd86 1f7dfc 125aa9 1e26f1 138ba2 1e0cd4 1e3614 1eaa3f

Soln: 0x9: 2f6 190883 132f5e 16e4cf 46df1 b45a9 c0051 1ca8a7 eb33 9586b e3095 140bb5 3d91e 86c83 707a7 1e7ade 97d 1f69a4 e98b 11c28d 10227 935d3 79558 a10d7 439e7 cfa7f 55ee3 7fd2a 9cd1b b6160 1597f2 1b6946 9583 2ddf6 f330f 13d57e 9d05c bdc85 12601a 1513cd 1e3f2 ede17 11437b 1633e4 3290d fc834 10b906 113303 645f8 1998c2 133695 157ecf 81224 100392 eb09b 174e8e 736ba 87b72 16b7ed 1eb142 e2b53 1efaa1 14c554 15bb24 f01a 5ee8f 13b18 12d079 97e84 1be51e c65e6 1763a0 23f9e 18ccc3 11e670 1fd4db 1921cf 1c65c3 194c2d 1e0a62 1c010 e0eaf 6d1a3 151f8d 72dc7 186ed2 106a5b 158ec9 8b76b 19c6d8 12a84a 1de8c6 aacb0 fd4a0 15f47a 17babc 29b4b 1e72d8 3ceb3 10973d a4b1a d6bea 11f978 13d152 485ab 1dc0be 1079fa 121dbe 4f4d0 1645e3 538ce 104c29 3b872 1f14f5 b8db2 18ec29 3c6b9 d00c0 135609 14603b 41397 6a016 6e4d6 1e4ee9 bd581 14dc9f 1b7ea5 1c3962 d21 1dd3a 39001 c646b cf00 6c781 96397 b5a91 ed02 14b64f 75b4a 1f4ce9 3fbdc 1711fe 4365f 1e69ce 39da5 1c4b71 66fa8 15f387 43fd8 1141a0 18e07f 1a39cb 7298a 1a581d 89a83 15ef21 e8e7e 1ece63 161f03 1f7e9e 8e52 5ef3a 17fc44 1cb74a e3b16 1197e8 1a18f1 1aa890 6d8f1 1f1a81 f90c2 17706e a0846 190dce 158005 1fef40 5e90b 12d902 dcf1e 1ddaf4 f6dd5 1682d7 138e42 17bdba 6f150 1b55cc 1137d6 14109a 7d309 16b704 afc60 16cd90 82e5 2f842 aac96 13d1fe 3fd34 15d490 12d88c 185b3b 50dc0 6ee57 b2fb3 1e1736 9330e c2715 12f020 13fe4d 453a5 1d25f7 d9b7a 1475df ac44e 1b622e 113a36 1fbc03 84332 1c14de 114264 1e04af da9ce 110c38 152b88 182a11 b1e3 cf56a 8072c 145e47 969c7 1bb303 119936 1f5502 366a8 18d547 6210f 143b2a 992c4 e2027 c172f 14caa2 3ba21 6746b 58d44 11e0a1 49ed0 1f7eb3 107452 10884e 4feb4 1822df 92f56 1ded5a 94a63 14f9bd 11133a 1d7af9 2e1e 151ca0 b4f87 162f29 92a48 c3de7 995eb 1071e4 387d4 1f0783 e3a36 1a247b 54212 165ad1 138bc2 1ff6b4 3aadd 14a92b a2b62 13b735 98e26 cfa67 12025c 13c53d 51d6c 17b10b ee624 10b816 b9702 18d87d 14148b 1eece3 9802 bc740 a7aba 1e3473 24892 1d7b87 fcb17 160916 83f2c 87e7f 10b779 1be32b 101543 10beb7 144d2c 1f821e 20ab1 f6e13 6d46c 14ad7c 98029 fb13d f970d 12aa6f 59f7f aa366 14fbb8 1d46e3 5d966 b5127 efd7d 138f1d 55bd 16656b 7d644 104b70 c943 481d7 10deea 1b06d3 6cc3f ed880 108629 169058 ab27a 17bf23 e2293 1a4560 3bd6a 67838 1786eb 1eab1e e6a1c 1187de 1c1b33 1d20ec cc77e 1d3497 1be78f 1cf9b9 d209e 13fe3f e6a2b 18893c 22439 36298 99999 f117f b4f85 18aad8 14cc1e 1cf3db 6ff20 1277d6 d7683 1f9cb5 12c210 19c7a2 1459da 162fdd 2d2ff 121d89 193e31 1bf09c 5a63f 5c06d 104e4c 1eef39 6865d 1f9301 1a6841 1b0991 72100 c6af6 104073 1d9ee8 8209 18f2c3 12a703 18df8b 4a3b1 f4c7d 119363 1ea915 91e25 16e71b c82a2 1dc44b 13007f 15bcef 1638d4 1e7d2c f1cf 180015 2e92d 904e1 7c063 f8127 16f2b9 1b35e3 6a02e 10d476 187ae3 1c95be babd7 127e1d 102ae1 1f2d56 11a94 1958ac 67d28 1a1630 ebf65 176970 1c0fd1 1d07ca 352da bb5ba 5ff86 15b7d3 cbaf2 12488b f9606 121a87 3f81d f9d49 18a2be 19ab23 4e436 af448 81c0e 103907 8308c 118e48 d2bde 1dcc15 8e32c 112208 b68cd 1b4608 b988 3310a 5be26 1625f4 e781f 1dd971 15aa05 1df391 11669 9c5ee 45644 56ffb 50f59 b707c 7d558 1dc46f 2d82c 8ae63 16a3ed 19905a 636fe 1a14d4 12b89d 1464b5 665fc 126caf 99cc2 e3a33 f3a87 1513ba 12e7d8 142098 e267 6cece b6ab2 163665 17d3d 122809 8edf4 c7cab 509af b26d3 128b33 1e0a51 88c31 1413a0 119807 1b4096 1969e 11440f 99728 19687a 3fcd6 87535 fd4c9 12322b 7840f 1328e4 f7752 1ebaaf 927c8 129c38 11d432 1f6166

Soln: 0x9: 21ff 1f350 3b27c 18efe3 b34b 136858 9983d a1480 2c40c 1c9307 1299f7 1abbd6 328de 55352 17c228 1f9abc 1112b 32bae 76cd7 e7e54 168f13 19bc24 1928ca 1fb626 40314 1023aa 119177 12a94a d4768 1b29d4 e7da0 19d495 9ee5 26890 26fba c32e0 44569 1d6054 aa24c 16c553 1a8c5 104e63 1d98b3 1ddf21 7db14 15880f b087b 1df853 40dbc 15c082 71d36 d6376 5ea61 139fd5 80542 154e01 971fa 1d901b e0248 1803d8 a0292 157516 13684b 1df92d 749c 16839e b70f1 feef3 9540c 1eccb2 be75b 15e3cd 46e8e 120277 15cd99 1ba314 761ff faec8 9d3db 17a76d 21478 1845a6 32aaf 1f3b3b 9cc1c 1fca9c 15fdb8 1a8713 ff0d7 1b7ea7 1010f7 11128f 124fb3 149135 167359 1ff1fe 1365e 111e80 32e38 f4f21 2a726 63ae4 10e295 1d55b0 3b49a 14ee86 973ca 195680 a24df cc105 c6cdb 10a4e2 19501 a94a9 94626 1d9404 5cdc4 1c98a5 1751fe 18ae7d 6b81b c8f34 a4ae3 e5da8 73002 1f69e0 85c04 17bd1b 6531 1eade2 1b9ca0 1f33e8 40b59 1c028c 14edbc 15d979 13a95 df25f 64733 f8971 e231e fbc7b 12cf7b 12e4ae 909f 986b6 44f9d 1e1030 4075d 16ed32 db0f6 14b3d9 1061c 1b7075 149bcd 1d0ee7 c65b1 168004 ce130 158870 2839e a82fe ac538 1691f0 b8529 187631 e4a35 faf1d 373be 1e4152 11b581 1fcdd4 6aa71 1313e4 b5b3e 1d4c65 37914 1b9b37 55864 f6f88 9ccdb f981d af2ae 122238 9a173 1684d3 d09d2 1d838b df6df 112cdd 1b0fd9 1f638c 81c9 7fb17 46170 1506bc 265e2 1a3106 18f166 1f21dc 837a 1607a5 1cd945 1d83ee 3fd51 620b4 77bb0 9eacf 178c0 13dbac 351e7 9dc4e 66fea 111195 194ad5 1b6bec 43735 e3bc9 59d86 184820 c542e 1c8319 f87b6 123204 a36f 1cd307 14f2ed 15fe5d 1c63f ad064 ad11c c29c3 1e2a1 51916 172662 174f92 761a0 1a1980 84ebe 1e2cc7 35ff2 1a2169 671f5 102720 12a1d6 1c6948 19f3c9 1d5174 5a75f df104 12b3e7 17ffc7 f0201 1baa38 119884 198756 2369 1f24c4 15f97f 1665ba 7d7a3 173242 e6e41 1d93c2 3c3f a4b8d ae127 1948bd 15d1c1 1d6a97 16ba83 17893b 24d97 863fb 15d197 1912cb 38bef 134d5e fef2a 1af4d4 559b4 bf9d7 127710 146dec 586d7 107901 59915 1b03e9 7794 168712 fa6c ca4c3 6d606 17a5e9 142551 1689a0 74861 7a062 c60bc 1c63ff 79376 eb2a2 1607af 1c8f71 1c592 c6014 1c0a36 1f5539 659a8 1cde6b 7b6ea f87fe 511d5 152306 695e5 1df893 a81c7 1bb080 11b5b3 19508a bec3 ed7e0 74d90 cc88d b43e5 1b6440 db72b 1c8336 4247c b3e07 aca95 c3a44 51666 9a1f5 51bff 884f8 1f7a9 1e53c5 1d58e4 1e66ba c5c5a cb60f 128e02 178ffd 9d424 b7e7b a0df9 1f20ca 152ea3 1898bf 1a2a66 1e94c4 14aa7 1424ee 150a2a 15a8a7 4c88e e2964 890a4 144bef 77847 17d5c9 b2a3d 1906f5 781c9 1ff116 10a730 1f4aaa 1f932 4c4b8 9563d 16e7d7 c707c 1042b9 ef04e 1b303e 329c5 18d79d faf31 19d808 79706 e1077 1ba2fa 1f0099 52f2 1a91bd ec997 198670 32330 146e52 847e4 1aae54 3160f 115707 13b902 1b3450 9eb49 18f677 a522e 1fab78 5c1fc 1fa0e1 15aae7 1bb842 86efe 1f4625 1a0b69 1b0706 9b79f ee099 101530 15b351 b2588 1c17a3 ccb58 1b02ff 33b07 4fb8e 1263e6 1baa39 8b820 cd3d0 a0dd9 d87c2 921c8 191485 17aa59 1bbcd2 c92ed 140ad0 f717c 127029 59f47 124674 11e1a2 1b3971 dbb22 1cf250 100c88 110737 5fe11 12343a 174f99 1dd981 d5275 1adc38 16acb1 1b8bed 8990 351f4 8c38b 1a3f84 184ef 1407b6 b2aed 12ac88 36728 183593 106741 13cfbc 64ec9 1dba20 1274d5 1d6426 12244 1f30d9 2f3e7 8c10e 89011 1afdc9 14ff57 1e31e1 46b80 17a28c b78a9 15f6d9 14d49e 161032 161ac5 1ba558 1029f 11a3f0 cc3c3 1a20bd 3c1b0 16e7a0 95eaf 1690ce 60413 ff1c7 def28 112348 a0a72 151ce5 141e5d 197a1e 1bc3d 16baa5 f107b 126344 491ad 6628d 12e6a9 12fce0 7946b 158244 18e37f 19b953 7d6cc 109e41 f7f25 1597b9

Soln: 0xa: 251a b6f43 d2123 1f3694 be1ef 1553c3 cfb9d 13298d 225f1 198854 49f75 11ef44 3c6fe 1bee21 94ff6 13a059 1745f 1a18c7 7cdb9 ce67f 6d939 1c415e 150296 16077f 34dee 1c2f3a 60089 17b2d7 3cb5c 1f1277 ac920 1689ca 6d05 d751c 819f7 10ac4e 49ab5 969e5 4c852 ba5c8 76bc9 109d0c 159efc 170e4f a31f3 1c7520 12c29c 1dd6ef 437f2 1fa12a c746a 11777c 6e892 10d85b 100eee 18140b 64a99 187d12 c3367 163fe6 1399e1 1c13ac 154e99 1feaab 89e4 89436 dcf19 e2af7 94479 116378 dfb36 1fbe81 5853a 16b486 124df9 19444a 72f45 1bb5f3 a4307 19eadf 31b7f 112211 5274c d1def a8bec 16ea2c df2b3 12e0f1 39330 16fa87 15c0a8 167fcd eb49a 13cef7 1a7010 1e459d 1ea49 1c8a29 2cba8 1ce029 74bc5 1b5030 cfd61 14d25d 53900 7bc50 9ddea 188926 1076ad 1b7892 13d393 1652a4 5fbec 1079cd 1e1968 1ed75e f9d03 1b8147 110445 191f1c 7adee 139826 d0e54 160d81 11cfee 1f2a16 122ec5 1581d5 e4b3 11e6c4 9143d d3ee2 591e0 d86b2 be9b0 e101e 10a30c 1ad9f0 171ea5 1752b1 149685 19a7f4 19056c 1951d4 21b76 2601f 94057 185bb5 cd1ae 19f03b 10179a 1b6f7e 42c8f 5c49c 8c9b1 1a51ec 63542 1d904d 164995 1c23c7 22bf2 192995 15f26b 17cef5 131cef 172bba 16773c 19a710 2c5ab 12a191 1c3504 1e1d25 142c64 15eec2 177947 1aa2d0 52220 b774a 142eba 181bd9 9a7bc ca13c f23c1 1f3b6d 7c957 1c75ff 104100 1eee4d 82934 139b2a 14b22b 155004 15445 1ad6e6 98df5 12d7ed 1f217 41433 dab3e f8736 c831e 1df120 1b148d 1d081d dc25d 1e6ffe 141592 1d0022 2970c 179116 12480c 159abc 2aacf 1ff6f8 454ab 61067 5c436 b660c b15f3 1d0a9a 7abf4 170c8d 15a235 174112 1ad8a a8c0e 12e6b3 1b8b72 42664 1e0acf 9f54d 164e58 4335c ddc53 efdde fd149 c4fa0 166e02 eece2 1e85ea 264a8 16b9cb 1e0a54 1eb6c7 87e8b 1a2195 10642e 174e2e 2a2a4 e0d10 198413 1dfa50 b2252 f2a73 c94e9 108b8d 2831 111790 12278d 1b7c63 f05da 177645 f53ae 1def24 1948f 199e13 f0227 1adb6d e5ec6 1567a2 1b243e 1b4cab 19be6 16d067 e3b67 1fa6b9 46426 80365 968ca 17489c 1a85b 5572d 133c98 1e010d a4f67 104d82 1469a5 1c5485 2ab5c 59d94 a4e88 1b6f12 3dce5 7df6b d3113 ef1a0 56841 176fa6 17521c 18234e 63306 1ebb8f b79fe 1b3290 3942d 12e0ee 41487 198fc0 4f46e 185e1f e12f6 1d3d33 631d1 1da72a d778a 1267a9 c833a 165f76 19731d 1bdc7e d7cc 1c5443 e97a7 16839f 8986b 13b462 fcf92 184402 2cc81 136e2b e2582 147de8 7cb97 f6e27 138c28 1ee05c 1f46a 3b861 d5571 1883e1 eac6e 112b28 1b7689 1d00b7 75303 1d00a7 173978 1b7f02 eccef 1ed0bb 137ad1 1ea9c8 308e9 84935 3ac28 19bc3a 48abf 1ab2dd e12da 1b8507 71c4a 1063da 81cd0 10ef34 fb21a 1e0e9c 1bedd8 1ec5f9 3499d 12c953 f3cf4 1099aa 7bde9 11e300 1614ae 1a4a82 58707 f710b 16a79e 1f357a a8cd6 cda0f bc7bc 16e1cc 6ae9 18f53 3a036 da1d7 532e9 1e2aaa 6f019 19761a 3246b 187db6 163a2f 1cbe7f 5aee6 9898c 1626e5 1bb561 b365 1dcee3 8c5b7 1141d1 7c432 1f3433 14cda0 1b6d31 42057 c9966 6838c 1b4d72 dd807 1d473d eb458 14969f 30b6d 82eba 10b8b1 1f72f0 89603 18fb12 13f82a 1c5116 3a5bc 1961c6 1183d3 1fca77 642a1 b1953 9e9cc cb926 3cc8f d7c98 166f62 1a96c3 ce16a 13c28f fdcee 101dc4 403e7 107660 91484 fe1d9 144973 18f6dd 149e2b 1f3199 fc0f 15684f 14e309 1d25a1 46c80 510b1 df6ee 129b26 70488 b72f9 107d45 10922f 129274 1dd4da 131a1c 186bdf 39044 16e73f 176e8f 1cd5e4 47134 116a48 194919 1c658d 773d8 140a82 a7c4b f49d2 ac36f 144e17 15d1f0 1d2449 1ce99 67975 79a3c 1614be 60907 e86c4 116266 14cfd0 3cd1c 1e0119 84301 107652 5e2da 6a3a2 121f25 18eb05 58f7d 1a8ad4 8cf94 181724 60c90 17c0fc 1b0b69 1eaad4 ca490 141ac0 e6d8b 1b67db f01f5 10bebe f0491 15e7a7

Soln: 0xb: 173 a15bf b250e 1be2b3 6567b 79702 1b2f8c 1d5851 67f9c 7a2e0 13784a 1f99e1 d9139 166d0f 121466 12dfc9 67545 736f8 bb4c9 1d534d 726b5 1a41b0 1698e7 177a2d da1ff 1a0cc3 fa13f 148b22 111ca3 1353ad 1b1e70 1badee 13b1b 16240f b27b0 1a7234 e17cb 116adc f927b 1237f3 15b78 72a58 a2bbd 183d08 cbf55 1b72d2 17acb3 1b418d 434a4 117343 1637ed 1c10a3 682ed 11cdef 192323 1f3e32 530c8 14d3f1 16e631 1dcf5c 1404bb 1e646e 1f6a12 1fc13a 2012 2ab2b f86f5 105ff0 94765 f8b73 1df173 1f7897 43884 1a89e2 86acf 1a6b84 fcdf2 1a0c10 1351d4 1f245c 204fe 1bcaf9 32768 8ac91 7020e bd4bd c166a 1b72ec 2acc9 c2ec8 37f24 8ce1d 7b17a dc86f 1727e6 1c0f7f 2773a 2dee2 615b3 9c3eb 656f9 1dff95 11d714 1239c3 38d98 c6c80 1c13c1 1ee2a8 5330e 8b866 ed4df 1e1a74 41027 14e1bf b2d4a 125704 107992 13dd94 1857b0 1fa66d 45a5b 1a5b27 ad1b1 138d53 121789 17bff0 17324d 1855b7 540f 575e4 73922 13a7cb 4efc1 1eecde 1882a2 1ee9a3 9521 60c09 26f39 193a1b 50e8a 558db 17777f 1fedb8 17060 10b81c f1b1d 1728d9 3c9c5 79ae9 5d794 1fb7e7 9c569 19ff82 c31d4 19eefc bbf68 15bf3a 185fce 1d31ca 13cad 12a3b1 1caa10 1ccb10 28da9 1952b7 f45b3 14d4aa 2222a 11e78c 13b703 1e32e7 7362f 1f7a27 80d9c 1d3f9a 3d0ef 1761f9 952db 11892e 875b5 17d8ea e61b1 ee468 69743 1496bb 9b5d8 13143b 90699 163ed7 1123d1 1f634b 8180 6f0bc 28021 29174 4e9fa d2925 8c078 14d635 4e596 1da048 d93f4 103c6c c2f41 19648c 13794b 1940fb 1abd8 8466a 53d7a 182763 1da0e 1c377e c1f22 1f028b 2da1c 188a75 130773 153870 1646da 1ab362 19b202 1a729e b162 12521b cc168 d5a8b 21506 1f97f4 b55fb 1812b0 19dee 1d8ff8 38265 1aa163 2f599 f21aa 6f8db 1755c7 3a8c7 468cc 9444e af599 c3e0b cffe8 124525 137815 69823 8da56 ba9f6 1ed2a7 79aa7 a7b75 82781 1d6f14 1293 1ab233 dbb40 196f46 53bcb 1891e8 9cb4f ce6ee e3e5 fa055 3b31d 1a0a86 3d0f9 5efde 17c4a5 1a9c38 196fe 109c0b 2482a 10094e 2ff5e 67974 8c136 f72c4 7ef6c 15d1ec a24f0 a76ee 10e9f2 1e38c3 1b2afd 1e5d17 10468 f019d 1f091 9849d 44e44 150b6e 76a83 1384d7 198b7 5ad0d 5c09a e07ad ae32a c19d2 eb439 1f14ae 15585 42957 5cf65 9396c 2d7dd 4501b 6c346 a4fe5 20e7d 1507c3 ddbaa ed555 6ef48 145b9d 15ff44 194d94 1300 18f2d7 21be5 13d6be 6e94 ff42a 29540 146ed6 27608 1c0b7f f3c2a 116bed be997 161739 12a5a0 189d0a 393f4 193416 12e5bb 152c14 16867d 168f23 1ab15d 1c565a b2a44 1008b7 190923 1c07b0 c8111 1966e7 def9d f98ff 20b2b e00b0 dc560 fd179 51a4f 164d49 e4025 18f5d3 3d7cc 46800 130152 1e38a3 b2d90 f8987 15427a 16a2ab 2b66e 17264a b20a4 e9d56 2f112 18a88e f3a12 1ae6dc 3f269 47284 46366 ee37e 4c82e 12037d 1d5d10 1e791e 4b16 a998a 17d8b6 1c42f8 96c5d d0800 d31c8 11799c 4f852 1c3f69 5e057 1fd220 5397f 1bdb6d c30ee 1c6bdb bcb6 1d5edb 1dfdd0 1eb0b4 2a751 1ab8b8 fd1c8 1d784e a4ffd 1fb6c9 113a0d 17a2f9 b03fb 1cbe65 198611 1c3b42 cf24 1c7eac 325e9 7b54e bcfd0 cc043 17295a 1f38e5 59aee 183bf9 b7a2b 12db17 859d9 1d5001 167781 17bbe2 21ef2 4f458 a0150 1f503a 63f88 146bf3 c1d1f 19a8ba 8085c 12ef6e 1aa63b 1fe2f9 a14e7 1d19a8 1146b4 14b426 1623c 13e121 12cc6c 1995ea 54bcb c0bdf a7ddb 196110 95d6b 1ebefa 128799 1c47b1 f50c2 1e99d2 10e35b 137d1b 42d77 13d408 9b7bf 113c5a 1257eb 1884b5 14625e 1d762e 5701f 1d6d29 87190 1fca5a 83813 10a329 13e4a8 1af7cd 38906 1e8f87 d49dd 135f47 60f03 105414 9ffee 17e4dd 77771 1c58c9 f46fc 1dd223 cc247 1da136 1247d1 1bd5c6 42618 17c450 1215b8 16e7b9 42a74 aa0b6 9d3e3 d27dd 60dcf 1ccfc2 99276 1ab116 d6151 101f68 1329a6 18a67d

